company,job_tittle,role_family,experiance,exp_min,exp_mid,exp_max,exp_bucket,location,primary_city,metro,location_level,salary,salary_clean,salary_min,salary_mid,salary_max,salary_bucket,required_skill,has_python,has_sql,has_excel,has_power_bi,has_tableau,has_machine_learning,has_pandas,has_numpy,has_spark,has_aws,has_statistics,job_detail
ibm,data scientist,aiml,3-7,3,5.0,7,junior (3–5),bengaluru,bangalore,bangalore,city,10L_to_15L,10l_to_15l,10.0,12.5,15.0,10-15 LPA,"['algorithms', 'python', 'data analytics', 'tableau', 'hive', 'data analysis', 'natural language processing', 'data warehousing', 'machine learning', 'artificial intelligence', 'sql', 'pandas', 'deep learning', 'java', 'data science', 'spark', 'hadoop', 'big data', 'aws', 'etl']",1,1,0,0,1,1,1,0,1,1,0,"['Role: Data Scientist', 'Industry Type: IT Services & Consulting', 'Department: Data Science & Analytics', 'Employment Type: Full Time, Permanent', 'Role Category: Data Science & Machine Learning', 'UG: Any Graduate', 'PG: Any Postgraduate']"
ibm,data scientist,aiml,5-7,5,6.0,7,mid (6–8),bengaluru,bangalore,bangalore,city,10L_to_15L,10l_to_15l,10.0,12.5,15.0,10-15 LPA,"['algorithms', 'python', 'data analytics', 'tableau', 'hive', 'data analysis', 'natural language processing', 'data warehousing', 'machine learning', 'artificial intelligence', 'sql', 'pandas', 'deep learning', 'java', 'data science', 'spark', 'hadoop', 'big data', 'aws', 'etl']",1,1,0,0,1,1,1,0,1,1,0,"['Role: Data Scientist', 'Industry Type: IT Services & Consulting', 'Department: Data Science & Analytics', 'Employment Type: Full Time, Permanent', 'Role Category: Data Science & Machine Learning', 'UG: Any Graduate', 'PG: Any Postgraduate']"
ibm,full stack data scientist,aiml,3-7,3,5.0,7,junior (3–5),bengaluru,bangalore,bangalore,city,10L_to_15L,10l_to_15l,10.0,12.5,15.0,10-15 LPA,"['python', 'pandas', 'microsoft azure', 'machine learning', 'prototype', 'artificial intelligence', 'java', 'cobol', 'data science', 'gcp', 'troubleshooting', 'aws']",1,0,0,0,0,1,1,0,0,1,0,"['Role: Full Stack Data Scientist', 'Industry Type: IT Services & Consulting', 'Department: Data Science & Analytics', 'Employment Type: Full Time, Permanent', 'Role Category: Data Science & Machine Learning', 'UG: Any Graduate', 'PG: Any Postgraduate, LLM in Law']"
accenture,bi architect,analytics,7-11,7,9.0,11,senior (9–12),bengaluru,bangalore,bangalore,city,10L_to_15L,10l_to_15l,10.0,12.5,15.0,10-15 LPA,"['python', 'data analytics', 'data modeling', 'data integration', 'hive', 'data management', 'big data analytics', 'data warehousing', 'power bi', 'data architecture', 'business intelligence', 'sql', 'tableau', 'spark', 'hadoop', 'data visualization', 'big data', 'etl', 'aws', 'informatica']",1,1,0,1,1,0,0,0,1,1,0,"['Role: BI Architect', 'Industry Type: IT Services & Consulting', 'Department: Data Science & Analytics', 'Employment Type: Full Time, Permanent', 'Role Category: Business Intelligence & Analytics', 'UG: Any Graduate', 'PG: Any Postgraduate']"
accenture,business analyst,business analyst,7-11,7,9.0,11,senior (9–12),bengaluru,bangalore,bangalore,city,10L_to_15L,10l_to_15l,10.0,12.5,15.0,10-15 LPA,"['project management', 'business analysis', 'business requirement analysis', 'requirement analysis', 'pega prpc', 'program management', 'togaf', 'enterprise architecture', 'presales', 'solution design', 'business process management', 'it strategy', 'pega', 'agile']",0,0,0,0,0,0,0,0,0,0,0,"['Role: Business Analyst', 'Industry Type: IT Services & Consulting', 'Department: Data Science & Analytics', 'Employment Type: Full Time, Permanent', 'Role Category: Business Intelligence & Analytics', 'UG: Any Graduate', 'PG: Any Postgraduate']"
amazon,analytics consultant,analytics,1-6,1,3.5,6,junior (3–5),bengaluru,bangalore,bangalore,city,10L_to_15L,10l_to_15l,10.0,12.5,15.0,10-15 LPA,"['operations planning', 'project management', 'data analytics', 'sas', 'spss', 'business analysis', 'logistics', 'supply planning', 'demand planning', 'sql', 'excel', 'automation', 'capacity planning', 'supply chain management', 'production planning', 'inventory management']",0,1,1,0,0,0,0,0,0,0,0,"['Role: Analytics Consultant', 'Industry Type: Internet', 'Department: Data Science & Analytics', 'Employment Type: Full Time, Permanent', 'Role Category: Business Intelligence & Analytics', 'UG: Any Graduate', 'PG: Any Postgraduate']"
unknown company,data analyst,analytics,2-5,2,3.5,5,junior (3–5),gurugram,delhi ncr,delhi ncr,city,13-16 Lacs P.A.,13-16 lacs,13.0,14.5,16.0,10-15 LPA,"['python', 'sql', 'zoho']",1,1,0,0,0,0,0,0,0,0,0,"['Role: Data Analyst', 'Industry Type: Medical Services / Hospital', 'Department: Data Science & Analytics', 'Employment Type: Full Time, Permanent', 'Role Category: Business Intelligence & Analytics', 'UG: B.Tech/B.E. in Any Specialization', 'PG: MCA in Any Specialization, M.Tech in Any Specialization']"
mastercard,data science & analytics,aiml,1-5,1,3.0,5,junior (3–5),gurugram,delhi ncr,delhi ncr,city,10L_to_15L,10l_to_15l,10.0,12.5,15.0,10-15 LPA,"['python', 'machine learning', 'relational databases', 'r', 'data visualization', 'hive', 'sql queries', 'data processing', 'power bi', 'time series', 'impala', 'sql', 'tableau', 'apache', 'git', 'spark', 'predictive modeling', 'clustering', 'hadoop']",1,1,0,1,1,1,0,0,1,0,0,"['Role: Data Science & Analytics - Other', 'Industry Type: Banking', 'Department: Data Science & Analytics', 'Employment Type: Full Time, Permanent', 'Role Category: Data Science & Analytics - Other', 'UG: Any Graduate', 'PG: Any Postgraduate']"
micron semiconductor,data scientist,aiml,5-8,5,6.5,8,mid (6–8),sanand,ahmedabad,sanand,city,10L_to_15L,10l_to_15l,10.0,12.5,15.0,10-15 LPA,"['data science', 'time series', 'computer vision', 'deep learning', 'machine learning']",0,0,0,0,0,1,0,0,0,0,0,"['Role: Data Scientist', 'Industry Type: Electronic Components / Semiconductors', 'Department: Data Science & Analytics', 'Employment Type: Full Time, Permanent', 'Role Category: Data Science & Machine Learning', 'UG: B.Tech/B.E. in Any Specialization']"
tech mahindra,business analyst,business analyst,3-12,3,7.5,12,mid (6–8),bengaluru,bangalore,bangalore,city,10L_to_15L,10l_to_15l,10.0,12.5,15.0,10-15 LPA,"['application support', 'senior business analyst', 'troubleshooting']",0,0,0,0,0,0,0,0,0,0,0,"['Role: Business Analyst', 'Industry Type: IT Services & Consulting', 'Department: Data Science & Analytics', 'Employment Type: Full Time, Permanent', 'Role Category: Business Intelligence & Analytics', 'UG: Any Graduate', 'PG: Any Postgraduate']"
