company,experiance,city,salary,job_detail,required_skill
Accenture,2 - 7 years,Bengaluru,0_to_3L,"['Role: IT Support - Other', 'Industry Type: IT Services & Consulting', 'Department: IT & Information Security', 'Employment Type: Full Time, Permanent', 'Role Category: IT Support', 'UG: B.Tech/B.E. in Any Specialization', 'PG: Any Postgraduate']","['network security', 'technical support', 'firewall', 'security implementation', 'protocols', 'switching', 'security management', 'security operations', 'ecc', 'sap security', 'information security', 'sod', 'networking', 'hr security', 'authorization', 'sap bi security', 'sap grc', 'grc']"
Strydo Technologies,0 - 2 years,Tirupati,0_to_3L,"['Role: Full Stack Developer', 'Industry Type: Education / Training', 'Department: Engineering - Software & QA', 'Employment Type: Full Time, Permanent', 'Role Category: Software Development', 'UG: B.Tech/B.E. in Any Specialization', 'PG: MCA in Computers, M.Tech in Any Specialization']","['MS Access', 'cyber security', 'Coding', 'MySQL', 'Javascript', 'HTML', 'Windows', 'Troubleshooting', 'MATLAB', 'Internship']"
Hexnode UEM is an industry-leading endpo...,1 - 6 years,Bengaluru,0_to_3L,"['Role: System Security Engineer', 'Industry Type: Software Product', 'Department: IT & Information Security', 'Employment Type: Full Time, Permanent', 'Role Category: IT Security', 'UG: B.Tech/B.E. in Any Specialization', 'PG: MCA in Any Specialization, M.Tech in Any Specialization']","['Mobile Device Management', 'Cyber Security', 'MDM', 'Airwatch', 'Infrastructure', 'SCCM']"
Xiarch Bharat,2 - 4 years,Gurugram,0_to_3L,"['Role: Key Account Manager', 'Industry Type: IT Services & Consulting', 'Department: Sales & Business Development', 'Employment Type: Full Time, Permanent', 'Role Category: Enterprise & B2B Sales', 'UG: B.Com in Any Specialization, B.B.A/ B.M.S in Any Specialization, Any Graduate', 'PG: MBA/PGDM in Marketing']","['Proposal Preparation', 'Service Sales', 'Sales Coordination', 'Quotation', 'Brand Promotion', 'Sales Management', 'Sales Executive Activities']"
SBI General Insurance,0 - 5 years,"Bengaluru, Amravati, Telangana",1.25-4.25 Lacs P.A.,"['Role: Insurance Sales / BD Manager', 'Industry Type: Insurance', 'Department: BFSI, Investments & Trading', 'Employment Type: Full Time, Permanent', 'Role Category: General Insurance', 'UG: Any Graduate']","['Insurance sales', 'Agency Sales', 'General Insurance', 'Sales', 'Agency Channel', 'Lead Generation', 'Field Sales']"
NETLABS GLOBAL IT SERVICES,1 - 3 years,Bengaluru,0_to_3L,"['Role: Sales Support & Operations - Other', 'Industry Type: IT Services & Consulting', 'Department: Sales & Business Development', 'Employment Type: Full Time, Permanent', 'Role Category: Sales Support & Operations', 'UG: Any Graduate']","['Lead Generation', 'Inside Sales', 'IT Sales', 'Cloud Sales']"
Infinity Data Technologies,8 - 13 years,"Pune, Bengaluru",0_to_3L,"['Role: Sales Support & Operations - Other', 'Industry Type: IT Services & Consulting', 'Department: Sales & Business Development', 'Employment Type: Full Time, Permanent', 'Role Category: Sales Support & Operations', 'UG: Any Graduate']","['MSP', 'Sales', 'Service Sales', 'SOC', 'ITSM', 'Managed Services', 'It Solution Sales', 'Cloud Sales', 'SIEM', 'Enterprise Sales']"
Guidehouse,0 - 3 years,Thiruvananthapuram,0_to_3L,"['Role: Technical Support - Non Voice', 'Industry Type: Management Consulting', 'Department: Customer Success, Service & Operations', 'Employment Type: Full Time, Permanent', 'Role Category: Non Voice', 'UG: Any Graduate', 'PG: Any Postgraduate']","['MS Office suite', 'Analytical skills', 'SAN', 'Staffing', 'Information security', 'Billing', 'HIPAA', 'US healthcare', 'Accounts receivable', 'Claims processing']"
Prudent Globaltech Solutions,0 - 3 years,Hyderabad,0_to_3L,"['Role: Content Creation / Writer', 'Industry Type: IT Services & Consulting', 'Department: Content, Editorial & Journalism', 'Employment Type: Full Time, Permanent', 'Role Category: Content Management (Print / Online / Electronic)', 'UG: Any Graduate', 'PG: Any Postgraduate']","['software development', 'cyber security', 'editing', 'salesforce', 'cloud computing', 'technical writing', 'data services', 'charts', 'proposal writing', 'documentation', 'content editing', 'adobe', 'graphics', 'content management', 'content writing', 'technical documentation']"
HCLTech,6 - 11 years,"Noida, Chennai",0_to_3L,"['Role: Pre Sales Consultant', 'Industry Type: IT Services & Consulting', 'Department: Sales & Business Development', 'Employment Type: Full Time, Permanent', 'Role Category: BD / Pre Sales', 'UG: Any Graduate']","['Cyber Security', 'RFX', 'Bid Management', 'Data Center', 'Network Infrastructure', 'RFQ', 'Solutioning', 'RFP']"
