company,experiance,city,salary,job_detail,required_skill,job_tittle
accenture,2 - 7 years,Bengaluru,10L_to_15L,"['Role: Security Architect / Consultant', 'Industry Type: IT Services & Consulting', 'Department: IT & Information Security', 'Employment Type: Full Time, Permanent', 'Role Category: IT Security', 'UG: B.Tech/B.E. in Any Specialization', 'PG: Any Postgraduate']","['network security', 'firewall', 'cisco', 'fortigate', 'security operations', 'it security', 'cloud security', 'f5', 'servicenow', 'troubleshooting', 'web application firewall']",Security Architect
a large global organization,5 - 8 years,Hyderabad,10L_to_15L,"['Role: System Analyst', 'Industry Type: Medical Services / Hospital', 'Department: IT & Information Security', 'Employment Type: Full Time, Permanent', 'Role Category: IT Infrastructure Services', 'UG: Any Graduate']","['Cloud Security', 'Web Application Security', 'Cyber Security']",System Analyst
ortseam technologies,5 - 10 years,Bengaluru,10L_to_15L,"['Role: IT Security - Other', 'Industry Type: IT Services & Consulting', 'Department: IT & Information Security', 'Employment Type: Full Time, Permanent', 'Role Category: IT Security', 'UG: Any Graduate', 'PG: Any Postgraduate']","['Cyber Security', 'IT Support', 'TCP', 'DNS', 'Dlp', 'JIRA', 'VPN', 'SIEM', 'IDS', 'SCCM', 'Windows OS', 'Bigfix', 'Servicenow', 'SSH', 'System Support', 'Linux', 'Patch Management', 'Firewall Configuration', 'Remote Desktop']",IT Security
accenture,7 - 11 years,Gurugram,10L_to_15L,"['Role: Security Architect / Consultant', 'Industry Type: IT Services & Consulting', 'Department: IT & Information Security', 'Employment Type: Full Time, Permanent', 'Role Category: IT Security', 'UG: B.Tech/B.E. in Any Specialization', 'PG: Any Postgraduate']","['data security', 'dlp', 'data loss prevention', 'agile', 'python', 'cyber security', 'delivery leadership', 'documentation', 'siem', 'financial services', 'sql', 'tableau', 'encryption', 'devops', 'symantec']",Security Architect
accenture,8 - 13 years,Bengaluru,10L_to_15L,"['Role: Security Architect / Consultant', 'Industry Type: IT Services & Consulting', 'Department: IT & Information Security', 'Employment Type: Full Time, Permanent', 'Role Category: IT Security', 'UG: B.Tech/B.E. in Any Specialization', 'PG: Any Postgraduate']","['event management', 'cloud security', 'siem', 'pci', 'security compliance', 'network security', 'dss', 'hipaa', 'threat management', 'pci dss']",Security Architect
syneos health,5 - 10 years,Hybrid,10L_to_15L,"['Role: Security Auditor', 'Industry Type: Biotechnology', 'Department: IT & Information Security', 'Employment Type: Full Time, Permanent', 'Role Category: IT Security', 'UG: Any Graduate', 'PG: Any Postgraduate']","['Career development', 'Automation', 'Compliance', 'External audit', 'Information security', 'Risk assessment', 'HTTP', 'Risk management', 'Recruitment', 'Risk mitigation']",Security Auditor
unknown company,9 - 10 years,Bengaluru,10L_to_15L,"['Role: IT & Information Security - Other', 'Industry Type: Recruitment / Staffing', 'Department: IT & Information Security', 'Employment Type: Full Time, Permanent', 'Role Category: IT & Information Security - Other', 'UG: Any Graduate', 'PG: Any Postgraduate']","['SAP', 'risk management', 'lsmw', 'ecc', 'system audit', 'bi', 'sap security', 'catt', 'ui', 'saas', 'sap application', 'sap r3', 'troubleshooting', 'bobj', 'sap hana']",IT & Information Security
accenture,5 - 10 years,Bengaluru,10L_to_15L,"['Role: Security Architect / Consultant', 'Industry Type: IT Services & Consulting', 'Department: IT & Information Security', 'Employment Type: Full Time, Permanent', 'Role Category: IT Security', 'UG: B.Tech/B.E. in Any Specialization', 'PG: Any Postgraduate']","['dlp', 'data loss prevention', 'troubleshooting', 'cloud security', 'data security', 'information security', 'servicenow', 'security+']",Security Architect
nordex india,3 - 6 years,Chennai,10-14 Lacs P.A.,"['Role: Application Security Engineer', 'Industry Type: Power (Wind)', 'Department: IT & Information Security', 'Employment Type: Full Time, Permanent', 'Role Category: IT Security', 'UG: B.Tech/B.E. in Computer Science Engineering, Computer Science, Computer Engineering, Cyber Security, Computers']","['Linux', 'Python', 'Firewall']",Application Security Engineer
luxoft,2 - 6 years,Pune,10L_to_15L,"['Role: IT & Information Security - Other', 'Industry Type: Legal', 'Department: IT & Information Security', 'Employment Type: Full Time, Permanent', 'Role Category: IT & Information Security - Other', 'UG: Any Graduate', 'PG: Any Postgraduate']","['information security', 'power bi', 'sharepoint', 'risk control', 'stakeholder management', 'risk management', 'risk assessment', 'visualforce', 'css', 'cyber security', 'triggers', 'salesforce', 'data loader', 'java', 'html', 'penetration testing']",IT & Information Security
